score,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline
0.7638889,161.37576,288.0,1.625469,1,0train,22,2,BNCI2014-001,Hybrid (CNN+LDA)
0.7465278,173.89336,288.0,3.357409,1,1test,22,2,BNCI2014-001,Hybrid (CNN+LDA)
0.4201389,200.92601,288.0,1.9772706,2,0train,22,2,BNCI2014-001,Hybrid (CNN+LDA)
0.41666666,232.76945,288.0,4.244573,2,1test,22,2,BNCI2014-001,Hybrid (CNN+LDA)
0.8090278,261.6879,288.0,2.532389,3,0train,22,2,BNCI2014-001,Hybrid (CNN+LDA)
0.7951389,257.1316,288.0,5.023013,3,1test,22,2,BNCI2014-001,Hybrid (CNN+LDA)
0.5069444,245.54247,288.0,2.3822515,4,0train,22,2,BNCI2014-001,Hybrid (CNN+LDA)
0.5486111,262.01526,288.0,4.915019,4,1test,22,2,BNCI2014-001,Hybrid (CNN+LDA)
0.38541666,242.53098,288.0,2.352041,5,0train,22,2,BNCI2014-001,Hybrid (CNN+LDA)
0.5243056,255.33669,288.0,4.821266,5,1test,22,2,BNCI2014-001,Hybrid (CNN+LDA)
0.4548611,240.72412,288.0,2.3366714,6,0train,22,2,BNCI2014-001,Hybrid (CNN+LDA)
0.4965278,290.5643,288.0,5.127083,6,1test,22,2,BNCI2014-001,Hybrid (CNN+LDA)
0.7916667,276.59842,288.0,2.6621194,7,0train,22,2,BNCI2014-001,Hybrid (CNN+LDA)
0.8020833,293.3548,288.0,5.476561,7,1test,22,2,BNCI2014-001,Hybrid (CNN+LDA)
0.7986111,281.20267,288.0,2.7044115,8,0train,22,2,BNCI2014-001,Hybrid (CNN+LDA)
0.65625,274.03122,288.0,5.344052,8,1test,22,2,BNCI2014-001,Hybrid (CNN+LDA)
0.6180556,306.0468,288.0,2.9308326,9,0train,22,2,BNCI2014-001,Hybrid (CNN+LDA)
0.7326389,370.6794,288.0,6.4404054,9,1test,22,2,BNCI2014-001,Hybrid (CNN+LDA)
0.84375,55.312847,288.0,0.5376445,1,0train,22,2,BNCI2014-001,EEGNet 0.001 | no e.s.
0.7986111,55.89025,288.0,1.0809339,1,1test,22,2,BNCI2014-001,EEGNet 0.001 | no e.s.
0.4201389,55.820305,288.0,0.54292357,2,0train,22,2,BNCI2014-001,EEGNet 0.001 | no e.s.
0.46180555,56.35743,288.0,1.0911044,2,1test,22,2,BNCI2014-001,EEGNet 0.001 | no e.s.
0.8402778,58.94513,288.0,0.569973,3,0train,22,2,BNCI2014-001,EEGNet 0.001 | no e.s.
0.8020833,60.943203,288.0,1.1572145,3,1test,22,2,BNCI2014-001,EEGNet 0.001 | no e.s.
0.36805555,61.105408,288.0,0.58803433,4,0train,22,2,BNCI2014-001,EEGNet 0.001 | no e.s.
0.5104167,65.0718,288.0,1.2104182,4,1test,22,2,BNCI2014-001,EEGNet 0.001 | no e.s.
0.5555556,60.214188,288.0,0.57998824,5,0train,22,2,BNCI2014-001,EEGNet 0.001 | no e.s.
0.5347222,62.27977,288.0,1.178311,5,1test,22,2,BNCI2014-001,EEGNet 0.001 | no e.s.
0.4097222,64.787384,288.0,0.61936635,6,0train,22,2,BNCI2014-001,EEGNet 0.001 | no e.s.
0.5,70.83181,288.0,1.2909789,6,1test,22,2,BNCI2014-001,EEGNet 0.001 | no e.s.
0.6493056,64.97413,288.0,0.6216697,7,0train,22,2,BNCI2014-001,EEGNet 0.001 | no e.s.
0.6145833,67.25544,288.0,1.2631255,7,1test,22,2,BNCI2014-001,EEGNet 0.001 | no e.s.
0.7118056,59.480762,288.0,0.5716182,8,0train,22,2,BNCI2014-001,EEGNet 0.001 | no e.s.
0.7604167,64.63722,288.0,1.1876369,8,1test,22,2,BNCI2014-001,EEGNet 0.001 | no e.s.
0.6284722,68.6408,288.0,0.65032005,9,0train,22,2,BNCI2014-001,EEGNet 0.001 | no e.s.
0.8194444,67.79519,288.0,1.2924032,9,1test,22,2,BNCI2014-001,EEGNet 0.001 | no e.s.
0.65625,1.1618202,288.0,0.010370022,1,0train,22,2,BNCI2014-001,CSP + LDA
0.6909722,0.9570105,288.0,0.018830124,1,1test,22,2,BNCI2014-001,CSP + LDA
0.45833334,1.3293321,288.0,0.011953423,2,0train,22,2,BNCI2014-001,CSP + LDA
0.48958334,1.4049244,288.0,0.02438807,2,1test,22,2,BNCI2014-001,CSP + LDA
0.7465278,1.025523,288.0,0.009149351,3,0train,22,2,BNCI2014-001,CSP + LDA
0.7361111,1.1004939,288.0,0.018890522,3,1test,22,2,BNCI2014-001,CSP + LDA
0.3611111,1.0423396,288.0,0.009314242,4,0train,22,2,BNCI2014-001,CSP + LDA
0.5486111,1.0302978,288.0,0.018398479,4,1test,22,2,BNCI2014-001,CSP + LDA
0.3090278,1.0514421,288.0,0.00938797,5,0train,22,2,BNCI2014-001,CSP + LDA
0.3090278,1.0459964,288.0,0.01862594,5,1test,22,2,BNCI2014-001,CSP + LDA
0.39930555,1.3383877,288.0,0.011871655,6,0train,22,2,BNCI2014-001,CSP + LDA
0.4965278,1.1919622,288.0,0.02278464,6,1test,22,2,BNCI2014-001,CSP + LDA
0.5555556,1.0619419,288.0,0.009344331,7,0train,22,2,BNCI2014-001,CSP + LDA
0.6215278,1.1346424,288.0,0.019327376,7,1test,22,2,BNCI2014-001,CSP + LDA
0.7048611,1.7691882,288.0,0.015768925,8,0train,22,2,BNCI2014-001,CSP + LDA
0.7430556,1.50566,288.0,0.029785452,8,1test,22,2,BNCI2014-001,CSP + LDA
0.5694444,1.2676697,288.0,0.011174003,9,0train,22,2,BNCI2014-001,CSP + LDA
0.7638889,0.9211714,288.0,0.019245613,9,1test,22,2,BNCI2014-001,CSP + LDA
0.5798611,29.782696,288.0,0.28906956,1,0train,22,2,BNCI2014-001,EEGNet 0.001
0.7743056,38.313522,288.0,0.66135156,1,1test,22,2,BNCI2014-001,EEGNet 0.001
0.30555555,22.514624,288.0,0.21865767,2,0train,22,2,BNCI2014-001,EEGNet 0.001
0.2361111,9.869051,288.0,0.31456476,2,1test,22,2,BNCI2014-001,EEGNet 0.001
0.7013889,46.617165,288.0,0.4513888,3,0train,22,2,BNCI2014-001,EEGNet 0.001
0.6875,21.04022,288.0,0.65391093,3,1test,22,2,BNCI2014-001,EEGNet 0.001
0.34375,27.877975,288.0,0.2706521,4,0train,22,2,BNCI2014-001,EEGNet 0.001
0.48958334,32.925438,288.0,0.5844434,4,1test,22,2,BNCI2014-001,EEGNet 0.001
0.3402778,21.185492,288.0,0.2058189,5,0train,22,2,BNCI2014-001,EEGNet 0.001
0.53125,41.970436,288.0,0.6109147,5,1test,22,2,BNCI2014-001,EEGNet 0.001
0.36805555,23.986893,288.0,0.23263577,6,0train,22,2,BNCI2014-001,EEGNet 0.001
0.4513889,23.91608,288.0,0.46097764,6,1test,22,2,BNCI2014-001,EEGNet 0.001
0.6215278,44.785683,288.0,0.42972332,7,0train,22,2,BNCI2014-001,EEGNet 0.001
0.4548611,34.39636,288.0,0.758156,7,1test,22,2,BNCI2014-001,EEGNet 0.001
0.7465278,35.722527,288.0,0.3432355,8,0train,22,2,BNCI2014-001,EEGNet 0.001
0.6145833,40.335384,288.0,0.72618955,8,1test,22,2,BNCI2014-001,EEGNet 0.001
0.6215278,32.056885,288.0,0.3033273,9,0train,22,2,BNCI2014-001,EEGNet 0.001
0.6631944,34.185272,288.0,0.62702554,9,1test,22,2,BNCI2014-001,EEGNet 0.001
0.7326389,34.77228,288.0,0.3453762,1,0train,22,2,BNCI2014-001,SimpleCNN (Mid) 0.001 | wd 0.01
0.6597222,30.359344,288.0,0.6436079,1,1test,22,2,BNCI2014-001,SimpleCNN (Mid) 0.001 | wd 0.01
0.31944445,30.260626,288.0,0.29769862,2,0train,22,2,BNCI2014-001,SimpleCNN (Mid) 0.001 | wd 0.01
0.35069445,56.37377,288.0,0.84483606,2,1test,22,2,BNCI2014-001,SimpleCNN (Mid) 0.001 | wd 0.01
0.7708333,62.710793,288.0,0.60927933,3,0train,22,2,BNCI2014-001,SimpleCNN (Mid) 0.001 | wd 0.01
0.7256944,54.556564,288.0,1.1366262,3,1test,22,2,BNCI2014-001,SimpleCNN (Mid) 0.001 | wd 0.01
0.4722222,174.9574,288.0,1.6889274,4,0train,22,2,BNCI2014-001,SimpleCNN (Mid) 0.001 | wd 0.01
0.47916666,72.31907,288.0,2.387852,4,1test,22,2,BNCI2014-001,SimpleCNN (Mid) 0.001 | wd 0.01
0.3715278,51.796185,288.0,0.50150454,5,0train,22,2,BNCI2014-001,SimpleCNN (Mid) 0.001 | wd 0.01
0.34375,54.373558,288.0,1.0273141,5,1test,22,2,BNCI2014-001,SimpleCNN (Mid) 0.001 | wd 0.01
0.3923611,64.020294,288.0,0.6158508,6,0train,22,2,BNCI2014-001,SimpleCNN (Mid) 0.001 | wd 0.01
0.47916666,81.17994,288.0,1.3923402,6,1test,22,2,BNCI2014-001,SimpleCNN (Mid) 0.001 | wd 0.01
0.6909722,131.02202,288.0,1.2588491,7,0train,22,2,BNCI2014-001,SimpleCNN (Mid) 0.001 | wd 0.01
0.7048611,77.50059,288.0,2.0028412,7,1test,22,2,BNCI2014-001,SimpleCNN (Mid) 0.001 | wd 0.01
0.7152778,61.58672,288.0,0.59380937,8,0train,22,2,BNCI2014-001,SimpleCNN (Mid) 0.001 | wd 0.01
0.7013889,75.799255,288.0,1.3231297,8,1test,22,2,BNCI2014-001,SimpleCNN (Mid) 0.001 | wd 0.01
0.6041667,97.81559,288.0,0.92554075,9,0train,22,2,BNCI2014-001,SimpleCNN (Mid) 0.001 | wd 0.01
0.7638889,68.08415,288.0,1.5701635,9,1test,22,2,BNCI2014-001,SimpleCNN (Mid) 0.001 | wd 0.01
